municipio;lat;lng;url_maps
ABADIN;43.34660661778932;-7.4996355740804335;https://www.google.com/maps?q=...843.34660661778932,-7.4996355740804335
ABEGONDO;43.20414918365819;-8.306368412593898;https://www.google.com/maps?q=...843.20414918365819,-8.306368412593898
AGOLADA;42.78107643166891;-8.052195603496193;https://www.google.com/maps?q=...842.78107643166891,-8.052195603496193
ALFOZ;43.53135915890202;-7.424089622381545;https://www.google.com/maps?q=...843.53135915890202,-7.424089622381545
ALLARIZ;42.20137238652676;-7.813136608443225;https://www.google.com/maps?q=...842.20137238652676,-7.813136608443225
AMES;42.88559213318949;-8.61949934738511;https://www.google.com/maps?q=...842.88559213318949,-8.61949934738511
AMOEIRO;42.39278944003297;-7.912417854827376;https://www.google.com/maps?q=...842.39278944003297,-7.912417854827376
ANTAS DE ULLA;42.76834429765943;-7.907913426075367;https://www.google.com/maps?q=...842.76834429765943,-7.907913426075367
ARANGA;43.23395773717049;-8.029453694848854;https://www.google.com/maps?q=...843.23395773717049,-8.029453694848854
ARBO;42.13384928653794;-8.322471781564278;https://www.google.com/maps?q=...842.13384928653794,-8.322471781564278
ARES;43.45228172721681;-8.291761140709157;https://www.google.com/maps?q=...843.45228172721681,-8.291761140709157
ARTEIXO;43.31067431136755;-8.49972518388418;https://www.google.com/maps?q=...843.31067431136755,-8.49972518388418
ARZUA;42.93015325126144;-8.146579555549492;https://www.google.com/maps?q=...842.93015325126144,-8.146579555549492
AVION;42.37979923051917;-8.271287375121753;https://www.google.com/maps?q=...842.37979923051917,-8.271287375121753
BAIONA;42.109957714376414;-8.856023407585159;https://www.google.com/maps?q=...842.109957714376414,-8.856023407585159
BALEIRA;43.03910507036433;-7.188094272615517;https://www.google.com/maps?q=...843.03910507036433,-7.188094272615517
BALTAR;41.95719265192343;-7.754097237535458;https://www.google.com/maps?q=...841.95719265192343,-7.754097237535458
BANDE;42.045648449944025;-7.9689853147578615;https://www.google.com/maps?q=...842.045648449944025,-7.9689853147578615
BANOS DE MOLGAS;42.23246801525441;-7.675654609384474;https://www.google.com/maps?q=...842.23246801525441,-7.675654609384474
BARALLA;42.89868181044194;-7.244584608137326;https://www.google.com/maps?q=...842.89868181044194,-7.244584608137326
BARBADAS;42.31918965756526;-7.904333882479275;https://www.google.com/maps?q=...842.31918965756526,-7.904333882479275
BARREIROS;43.49176633085179;-7.195818122421446;https://www.google.com/maps?q=...843.49176633085179,-7.195818122421446
BARRO;42.489334039219386;-8.648994680287903;https://www.google.com/maps?q=...842.489334039219386,-8.648994680287903
BEADE;42.33023271265802;-8.134901863357541;https://www.google.com/maps?q=...842.33023271265802,-8.134901863357541
BEARIZ;42.48253638312729;-8.295266560939169;https://www.google.com/maps?q=...842.48253638312729,-8.295266560939169
BECERREA;42.909324184298896;-7.127708371222524;https://www.google.com/maps?q=...842.909324184298896,-7.127708371222524
BEGONTE;43.14745712226887;-7.6742319355946504;https://www.google.com/maps?q=...843.14745712226887,-7.6742319355946504
BERGONDO;43.31744223644728;-8.267161517211667;https://www.google.com/maps?q=...843.31744223644728,-8.267161517211667
BETANZOS;43.27152808302045;-8.23292261291753;https://www.google.com/maps?q=...843.27152808302045,-8.23292261291753
BOBORAS;42.44421306903402;-8.16810828243001;https://www.google.com/maps?q=...842.44421306903402,-8.16810828243001
